EL,ER,SL,SR,type
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
81,81,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
80,80,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
79,79,89,89,2
78,78,89,89,2
77,77,89,89,2
76,76,89,89,2
76,76,89,89,2
89,89,90,90,2
89,89,90,90,2
89,89,90,90,2
89,89,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
88,88,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
87,87,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
86,86,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
85,85,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
84,84,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
83,83,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
82,82,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
81,81,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
80,80,90,90,2
79,79,90,90,2
79,79,90,90,2
79,79,90,90,2
79,79,90,90,2
77,77,90,90,2
77,77,90,90,2
76,76,90,90,2
90,90,91,91,2
90,90,91,91,2
90,90,91,91,2
90,90,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
89,89,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
88,88,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
87,87,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
86,86,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
85,85,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
84,84,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
83,83,91,91,2
