EL,ER,SL,SR,type
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
24,24,36,36,2
24,24,36,36,2
23,23,36,36,2
36,36,37,37,2
36,36,37,37,2
36,36,37,37,2
36,36,37,37,2
36,36,37,37,2
36,36,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
35,35,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
34,34,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
33,33,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
32,32,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
31,31,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
30,30,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
29,29,37,37,2
