"sampno","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","R0","infectious","incubation","t0","I0","prob","lnlike"
1351,0,5,17.8293951114166,5.50103609992893,0.788828786,14,40,40,3,5,7.50332755100465,34.2274904421071,1000,0.842303535469802,1,1.34187666125599,3.32453886128797,3.41837398003727,17.0164696459095,1e-05,-40.1476855076857,-62636.4194610496
1401,0,5,17.631995788308,4.77955364735634,0.788828786,14,40,40,3,5,7.29988927843988,33.8869824914376,1000,0.834494246739973,1,1.34187666125599,3.3267961265044,3.40534572212259,17.1617636232775,1e-05,-53.0536543208647,-62553.582741124
1451,0,5,17.322554679315,4.264678505671,0.788828786,14,40,40,3,5,7.23711580394633,33.7740786829243,1000,0.834494246739973,1,1.34187666125599,3.3194979177619,3.39878701888702,17.5368492757993,1e-05,-69.4153107423872,-62502.4579448701
1501,0,5,17.16885576951,3.65702302922495,0.788828786,14,40,40,3,5,6.82216895734106,33.6712231243062,1000,0.83760412914683,1,1.33847709566334,3.24471486357456,3.42757534314993,17.7235081733397,1e-05,-43.3651875109016,-62336.1221851711
1551,0,5,17.1865791391789,3.4748109012329,0.788828786,14,40,40,3,5,6.82216895734106,33.3214046603882,1000,0.887981709085294,1,1.33847709566334,3.26701432333133,3.42757534314993,17.1234102781304,1e-05,-35.6839080972686,-62281.7605005662
1601,0,5,17.0939050914515,3.4748109012329,0.788828786,14,40,40,3,5,6.70776602930655,33.2129014607857,1000,0.920594908379492,1,1.33847709566334,3.21154243875718,3.46230463550956,17.1821952434213,1e-05,-43.1392261927742,-62240.9592989457
1651,0,5,17.3563790172035,3.16785883164235,0.788828786,14,40,40,3,5,6.40000924101843,32.9774984522158,1000,0.899090088940596,1,1.33847709566334,3.20262183774207,3.45207387707112,18.8127944937775,1e-05,-43.8826541270902,-62136.1611293294
1701,0,5,17.3392299067917,3.05071214761807,0.788828786,14,40,40,3,5,6.28884473395383,32.8461227923399,1000,0.864566309596936,1,1.33847709566334,3.20262183774207,3.45249481742452,18.3803959749865,1e-05,-39.4281221420235,-62105.108319957
1751,0,5,17.1097206943942,2.61173456920011,0.788828786,14,40,40,3,5,6.2962928574435,32.2450875149828,1000,0.873662224737549,1,1.33847709566334,3.21696792063767,3.45249481742452,18.6278143004656,1e-05,-48.9047997288278,-61993.8608310818
1801,0,5,17.2800510250099,2.37310705592992,0.788828786,14,40,40,3,5,6.25538761904228,32.2052080538005,1000,0.87016356396655,1,1.33276781212797,3.21696792063767,3.39929899952284,17.5344215492034,1e-05,-51.1351581050373,-61931.7135618629
1851,0,5,17.2800510250099,1.57331976706519,0.788828786,14,40,40,3,5,6.10408939606559,31.3514090146696,1000,0.87016356396655,1,1.33276781212797,3.22597046062066,3.3983959137548,17.9475945992484,1e-05,-51.4400838520752,-61820.0542902708
1901,0,5,17.3661642992642,1.71182609446811,0.788828786,14,40,40,3,5,6.19465900518609,31.3752573146117,1000,0.87016356396655,1,1.33276781212797,3.18490499299641,3.3983959137548,18.9028455161646,1e-05,-41.1588024707162,-61816.7995489479
1951,0,5,17.3890863266366,1.71944119415962,0.788828786,14,40,40,3,5,6.11524943512504,30.5163691254681,1000,0.864550556249583,1,1.33276781212797,3.20081228266973,3.3983959137548,17.4305019684821,1e-05,-23.8447343191656,-61771.2452161799
